approach,identity_group,snapshot_index,snapshot_label,observation_id,member_count
cumulative,c07,6,days_0_350,CUM-C0608,62
cumulative,c07,7,days_0_400,CUM-C0707,60
cumulative,c07,8,days_0_450,CUM-C0808,61
cumulative,c07,9,days_0_500,CUM-C0907,62
cumulative,c07,10,days_0_526,CUM-C1007,69
cumulative,c08,0,days_0_50,CUM-C0009,47
cumulative,c08,1,days_0_100,CUM-C0107,51
cumulative,c08,2,days_0_150,CUM-C0209,49
cumulative,c08,3,days_0_200,CUM-C0309,50
cumulative,c08,4,days_0_250,CUM-C0408,55
cumulative,c08,5,days_0_300,CUM-C0509,53
cumulative,c08,6,days_0_350,CUM-C0609,56
cumulative,c08,7,days_0_400,CUM-C0709,55
cumulative,c08,8,days_0_450,CUM-C0810,56
cumulative,c08,9,days_0_500,CUM-C0908,60
cumulative,c08,10,days_0_526,CUM-C1008,56
cumulative,c09,0,days_0_50,CUM-C0012,27
cumulative,c09,1,days_0_100,CUM-C0112,29
cumulative,c09,2,days_0_150,CUM-C0210,31
cumulative,c09,3,days_0_200,CUM-C0311,31
cumulative,c09,4,days_0_250,CUM-C0409,31
cumulative,c09,5,days_0_300,CUM-C0510,31
cumulative,c09,6,days_0_350,CUM-C0610,31
cumulative,c09,7,days_0_400,CUM-C0710,32
cumulative,c09,8,days_0_450,CUM-C0809,58
cumulative,c09,9,days_0_500,CUM-C0909,33
cumulative,c09,10,days_0_526,CUM-C1009,33
cumulative,c10,6,days_0_350,CUM-C0612,24
cumulative,c10,7,days_0_400,CUM-C0711,28
cumulative,c10,8,days_0_450,CUM-C0812,30
cumulative,c10,9,days_0_500,CUM-C0912,30
cumulative,c10,10,days_0_526,CUM-C1010,30
cumulative,c11,4,days_0_250,CUM-C0410,27
cumulative,c11,5,days_0_300,CUM-C0511,27
cumulative,c11,6,days_0_350,CUM-C0611,28
cumulative,c11,7,days_0_400,CUM-C0712,27
cumulative,c11,8,days_0_450,CUM-C0811,31
cumulative,c11,9,days_0_500,CUM-C0913,28
cumulative,c11,10,days_0_526,CUM-C1011,28
cumulative,c12,9,days_0_500,CUM-C0911,30
cumulative,c12,10,days_0_526,CUM-C1012,24
cumulative,c13,9,days_0_500,CUM-C0914,14
cumulative,c13,10,days_0_526,CUM-C1013,14
cumulative,c14,5,days_0_300,CUM-C0512,7
cumulative,c14,6,days_0_350,CUM-C0613,8
cumulative,c14,7,days_0_400,CUM-C0713,10
cumulative,c14,8,days_0_450,CUM-C0813,10
cumulative,c14,9,days_0_500,CUM-C0915,10
cumulative,c14,10,days_0_526,CUM-C1014,10
cumulative,c15,10,days_0_526,CUM-C1015,3
