observation_id,overlapped_identity_groups,overlapped_group_count
OVL-C0201,c05;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0008;dead-OVL-C0010;dead-OVL-C0011;dead-OVL-C0013;dead-OVL-C0101;dead-OVL-C0301;dead-OVL-C0306;dead-OVL-C0311,11
OVL-C0202,c05;c08;dead-OVL-C0001;dead-OVL-C0003;dead-OVL-C0004;dead-OVL-C0007;dead-OVL-C0008;dead-OVL-C0101;dead-OVL-C0301;dead-OVL-C0306;dead-OVL-C0314,11
OVL-C0203,c08;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0008;dead-OVL-C0010;dead-OVL-C0011;dead-OVL-C0101;dead-OVL-C0301,8
OVL-C0204,c08;dead-OVL-C0001;dead-OVL-C0003;dead-OVL-C0004;dead-OVL-C0007;dead-OVL-C0008;dead-OVL-C0010;dead-OVL-C0011;dead-OVL-C0015;dead-OVL-C0101;dead-OVL-C0306,11
OVL-C0205,c05;c08;dead-OVL-C0003;dead-OVL-C0007;dead-OVL-C0010;dead-OVL-C0011;dead-OVL-C0013;dead-OVL-C0101;dead-OVL-C0301;dead-OVL-C0306;dead-OVL-C0311,11
OVL-C0206,c05;c08;dead-OVL-C0003;dead-OVL-C0007;dead-OVL-C0008;dead-OVL-C0014;dead-OVL-C0101;dead-OVL-C0301;dead-OVL-C0306,9
OVL-C0207,dead-OVL-C0004;dead-OVL-C0011;dead-OVL-C0101;dead-OVL-C0301;dead-OVL-C0314,5
OVL-C0208,dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0008;dead-OVL-C0011;dead-OVL-C0101;dead-OVL-C0301;dead-OVL-C0306,7
OVL-C0209,c05;c08;c12;dead-OVL-C0007;dead-OVL-C0101,5
OVL-C0210,c05;c12;dead-OVL-C0004;dead-OVL-C0007;dead-OVL-C0101;dead-OVL-C0301;dead-OVL-C0311,7
OVL-C0211,c07;dead-OVL-C0001;dead-OVL-C0007;dead-OVL-C0008;dead-OVL-C0301,5
OVL-C0212,c08;dead-OVL-C0001;dead-OVL-C0004;dead-OVL-C0008;dead-OVL-C0011;dead-OVL-C0101;dead-OVL-C0301,7
OVL-C0213,c07;dead-OVL-C0004;dead-OVL-C0008;dead-OVL-C0010;dead-OVL-C0101;dead-OVL-C0306,6
OVL-C0214,c08;dead-OVL-C0001;dead-OVL-C0008;dead-OVL-C0011;dead-OVL-C0101;dead-OVL-C0214;dead-OVL-C0301;dead-OVL-C0306,8
OVL-C0301,c05;c07;c08;c12;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0004;dead-OVL-C0007;dead-OVL-C0008;dead-OVL-C0010;dead-OVL-C0011;dead-OVL-C0101;dead-OVL-C0214;dead-OVL-C0301;dead-OVL-C0405;dead-OVL-C0411,17
OVL-C0302,c05;c07;c08;c12;dead-OVL-C0001;dead-OVL-C0003;dead-OVL-C0010;dead-OVL-C0101;dead-OVL-C0301;dead-OVL-C0405;dead-OVL-C0411;dead-OVL-C0413,12
OVL-C0303,c08;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0008;dead-OVL-C0011;dead-OVL-C0101;dead-OVL-C0214;dead-OVL-C0301;dead-OVL-C0405;dead-OVL-C0413,11
OVL-C0304,dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0008;dead-OVL-C0301;dead-OVL-C0405,6
OVL-C0305,dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0010;dead-OVL-C0101;dead-OVL-C0301;dead-OVL-C0405,7
OVL-C0306,c05;c07;c08;dead-OVL-C0001;dead-OVL-C0003;dead-OVL-C0008;dead-OVL-C0010;dead-OVL-C0101;dead-OVL-C0214;dead-OVL-C0301;dead-OVL-C0405;dead-OVL-C0411;dead-OVL-C0413,13
OVL-C0307,c07;dead-OVL-C0004;dead-OVL-C0411,3
OVL-C0308,c08;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0010;dead-OVL-C0011;dead-OVL-C0101;dead-OVL-C0301,7
OVL-C0309,c05;c07;c08;c12;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0007;dead-OVL-C0101;dead-OVL-C0301;dead-OVL-C0405;dead-OVL-C0413,11
OVL-C0310,dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0004;dead-OVL-C0011;dead-OVL-C0214;dead-OVL-C0301;dead-OVL-C0405;dead-OVL-C0414,9
OVL-C0311,c12;dead-OVL-C0001;dead-OVL-C0003;dead-OVL-C0010;dead-OVL-C0301;dead-OVL-C0311;dead-OVL-C0411,7
OVL-C0312,c07;dead-OVL-C0001,2
OVL-C0313,c12,1
OVL-C0314,dead-OVL-C0002;dead-OVL-C0004;dead-OVL-C0101;dead-OVL-C0301,4
OVL-C0315,c05;dead-OVL-C0003;dead-OVL-C0214;dead-OVL-C0301;dead-OVL-C0413,5
OVL-C0401,c05;c08;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0007;dead-OVL-C0011;dead-OVL-C0214;dead-OVL-C0301;dead-OVL-C0306;dead-OVL-C0311;dead-OVL-C0314;dead-OVL-C0411;dead-OVL-C0413,14
OVL-C0402,c05;c07;c08;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0007;dead-OVL-C0011;dead-OVL-C0214;dead-OVL-C0301;dead-OVL-C0306;dead-OVL-C0311;dead-OVL-C0413;dead-OVL-C0509;dead-OVL-C0510,15
OVL-C0403,dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0007;dead-OVL-C0011;dead-OVL-C0301;dead-OVL-C0314,7
OVL-C0404,c07;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0301;dead-OVL-C0306;dead-OVL-C0411;dead-OVL-C0509,8
OVL-C0405,c05;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0007;dead-OVL-C0011;dead-OVL-C0301;dead-OVL-C0306;dead-OVL-C0413;dead-OVL-C0509;dead-OVL-C0511,11
OVL-C0406,c05;dead-OVL-C0214;dead-OVL-C0413,3
OVL-C0407,c05;c07;dead-OVL-C0004;dead-OVL-C0007;dead-OVL-C0301;dead-OVL-C0509;dead-OVL-C0510,7
OVL-C0408,c08;c12;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0301;dead-OVL-C0306;dead-OVL-C0509,7
OVL-C0409,c07;dead-OVL-C0004;dead-OVL-C0011;dead-OVL-C0510,4
OVL-C0410,c12,1
OVL-C0411,c05;dead-OVL-C0002;dead-OVL-C0004;dead-OVL-C0301;dead-OVL-C0306;dead-OVL-C0311;dead-OVL-C0411;dead-OVL-C0510,8
OVL-C0412,c05;dead-OVL-C0311;dead-OVL-C0411,3
OVL-C0413,c05;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0007;dead-OVL-C0214;dead-OVL-C0306;dead-OVL-C0413,7
OVL-C0414,dead-OVL-C0011;dead-OVL-C0509;dead-OVL-C0510,3
OVL-C0501,c05;c08;c12;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0301;dead-OVL-C0405;dead-OVL-C0411;dead-OVL-C0413;dead-OVL-C0601;dead-OVL-C0607,12
OVL-C0502,c07;c08;c12;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0301;dead-OVL-C0510;dead-OVL-C0601;dead-OVL-C0607,9
OVL-C0503,c05;c08;c12;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0301;dead-OVL-C0601,7
OVL-C0504,c05;c07;c12;dead-OVL-C0311;dead-OVL-C0411;dead-OVL-C0601,6
OVL-C0505,dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0601,4
OVL-C0506,c07;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0004,5
OVL-C0507,c08;dead-OVL-C0003;dead-OVL-C0301;dead-OVL-C0601,4
OVL-C0508,c05;c08;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0301;dead-OVL-C0405;dead-OVL-C0413;dead-OVL-C0601;dead-OVL-C0612;dead-OVL-C0613,10
OVL-C0509,c07;c08;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0405;dead-OVL-C0414;dead-OVL-C0607,8
OVL-C0510,c07;dead-OVL-C0003;dead-OVL-C0004;dead-OVL-C0411;dead-OVL-C0414;dead-OVL-C0510;dead-OVL-C0511;dead-OVL-C0607;dead-OVL-C0614,9
OVL-C0511,dead-OVL-C0002;dead-OVL-C0405;dead-OVL-C0511;dead-OVL-C0607,4
OVL-C0512,c05;c08;c12,3
OVL-C0513,dead-OVL-C0001;dead-OVL-C0301;dead-OVL-C0311;dead-OVL-C0411;dead-OVL-C0601;dead-OVL-C0607,6
OVL-C0514,dead-OVL-C0311;dead-OVL-C0601,2
OVL-C0601,c05;c08;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0301;dead-OVL-C0311;dead-OVL-C0411;dead-OVL-C0413;dead-OVL-C0601;dead-OVL-C0706;dead-OVL-C0711;dead-OVL-C0712,13
OVL-C0602,c07;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0301;dead-OVL-C0413;dead-OVL-C0509;dead-OVL-C0511;dead-OVL-C0601;dead-OVL-C0706,10
OVL-C0603,c07;c08;dead-OVL-C0001;dead-OVL-C0003;dead-OVL-C0301;dead-OVL-C0413;dead-OVL-C0601,7
OVL-C0604,c05;c12;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0711;dead-OVL-C0712,6
OVL-C0605,c08;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0509;dead-OVL-C0601,6
OVL-C0606,c07;dead-OVL-C0301;dead-OVL-C0510,3
OVL-C0607,dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0301;dead-OVL-C0411;dead-OVL-C0509;dead-OVL-C0510;dead-OVL-C0511;dead-OVL-C0706;dead-OVL-C0711,10
OVL-C0608,c05;c12;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0301;dead-OVL-C0601,6
OVL-C0609,c08;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0301;dead-OVL-C0413;dead-OVL-C0509;dead-OVL-C0601;dead-OVL-C0706;dead-OVL-C0711,10
OVL-C0610,dead-OVL-C0002;dead-OVL-C0510;dead-OVL-C0511,3
OVL-C0611,c07;c08;dead-OVL-C0001;dead-OVL-C0301;dead-OVL-C0510,5
OVL-C0612,c05;c12;dead-OVL-C0413,3
OVL-C0613,dead-OVL-C0003;dead-OVL-C0413,2
OVL-C0614,dead-OVL-C0510;dead-OVL-C0614,2
OVL-C0701,c05;c08;c12;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0510;dead-OVL-C0601;dead-OVL-C0706;dead-OVL-C0804;dead-OVL-C0808;dead-OVL-C0812,12
OVL-C0702,c08;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0510;dead-OVL-C0601;dead-OVL-C0607;dead-OVL-C0706;dead-OVL-C0812,8
OVL-C0703,c08;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0510;dead-OVL-C0511;dead-OVL-C0601;dead-OVL-C0607;dead-OVL-C0706;dead-OVL-C0804;dead-OVL-C0808;dead-OVL-C0812,11
OVL-C0704,c05;dead-OVL-C0601;dead-OVL-C0612;dead-OVL-C0712,4
OVL-C0705,c05;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0601;dead-OVL-C0607;dead-OVL-C0613;dead-OVL-C0804;dead-OVL-C0808;dead-OVL-C0812;dead-OVL-C0815,11
OVL-C0706,c08;dead-OVL-C0002;dead-OVL-C0601;dead-OVL-C0607;dead-OVL-C0706;dead-OVL-C0808,6
OVL-C0707,c07;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0510;dead-OVL-C0812,5
OVL-C0708,c05;c12;dead-OVL-C0612;dead-OVL-C0812;dead-OVL-C0813,5
OVL-C0709,c08;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0510;dead-OVL-C0601;dead-OVL-C0812,7
OVL-C0710,c07;dead-OVL-C0510;dead-OVL-C0511;dead-OVL-C0607;dead-OVL-C0808,5
OVL-C0711,c05;c08;c12;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0601;dead-OVL-C0607;dead-OVL-C0706;dead-OVL-C0808,9
OVL-C0712,c05;dead-OVL-C0601;dead-OVL-C0712,3
OVL-C0713,dead-OVL-C0510;dead-OVL-C0614,2
OVL-C0801,c08;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0510;dead-OVL-C0601;dead-OVL-C0706;dead-OVL-C0711;dead-OVL-C0808,9
OVL-C0802,c05;c07;c08;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0601;dead-OVL-C0706;dead-OVL-C0808;dead-OVL-C0813,9
OVL-C0803,c05;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0510;dead-OVL-C0601;dead-OVL-C0804;dead-OVL-C0808,8
OVL-C0804,c05;c07;c08;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0601;dead-OVL-C0706;dead-OVL-C0804;dead-OVL-C0808,9
OVL-C0805,dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0601;dead-OVL-C0706;dead-OVL-C0711;dead-OVL-C0804,6
OVL-C0806,c05;c07;c08;dead-OVL-C0001;dead-OVL-C0003;dead-OVL-C0601;dead-OVL-C0706;dead-OVL-C0711;dead-OVL-C0804,9
OVL-C0807,c07;dead-OVL-C0510,2
OVL-C0808,dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0510;dead-OVL-C0601;dead-OVL-C0706;dead-OVL-C0711;dead-OVL-C0808,7
OVL-C0809,c07;c08;dead-OVL-C0002;dead-OVL-C0706;dead-OVL-C0711,5
OVL-C0810,c07;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0510;dead-OVL-C0601;dead-OVL-C0614,6
OVL-C0811,c12;dead-OVL-C0711,2
OVL-C0812,c07;c08;c12;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0601;dead-OVL-C0706;dead-OVL-C0804;dead-OVL-C0808,10
OVL-C0813,c05;c12;dead-OVL-C0813,3
OVL-C0814,c05;dead-OVL-C0712,2
OVL-C0815,dead-OVL-C0003;dead-OVL-C0804,2
OVL-C0901,c05;c08;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0706;dead-OVL-C0712;dead-OVL-C0812;dead-OVL-C1001;dead-OVL-C1006;dead-OVL-C1007;dead-OVL-C1011;dead-OVL-C1013,13
OVL-C0902,c02;c07;c08;c12;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0706;dead-OVL-C0712;dead-OVL-C0804;dead-OVL-C0808;dead-OVL-C0812;dead-OVL-C0813;dead-OVL-C1001;dead-OVL-C1006;dead-OVL-C1007,16
OVL-C0903,c02;c05;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0510;dead-OVL-C0712;dead-OVL-C0804;dead-OVL-C0813;dead-OVL-C1011,10
OVL-C0904,c05;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0706;dead-OVL-C0712;dead-OVL-C0808;dead-OVL-C1001;dead-OVL-C1006;dead-OVL-C1007;dead-OVL-C1011;dead-OVL-C1013,11
OVL-C0905,c02;c05;c07;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0706;dead-OVL-C0804;dead-OVL-C0812;dead-OVL-C0815;dead-OVL-C1001;dead-OVL-C1007;dead-OVL-C1011;dead-OVL-C1013,13
OVL-C0906,c05;c07;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0804;dead-OVL-C0808;dead-OVL-C0812;dead-OVL-C1001;dead-OVL-C1006;dead-OVL-C1011,10
OVL-C0907,c07;c08;dead-OVL-C0001;dead-OVL-C0510;dead-OVL-C0804;dead-OVL-C1007,6
OVL-C0908,c05;c07;dead-OVL-C0002;dead-OVL-C0510;dead-OVL-C0706;dead-OVL-C0712;dead-OVL-C1001;dead-OVL-C1016,8
OVL-C0909,c07;c08;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0804;dead-OVL-C0812;dead-OVL-C1001;dead-OVL-C1013,8
OVL-C0910,c02;dead-OVL-C0003;dead-OVL-C1001;dead-OVL-C1011;dead-OVL-C1013,5
OVL-C0911,c12;dead-OVL-C0812;dead-OVL-C0813,3
OVL-C0912,dead-OVL-C0712,1
OVL-C0913,c05;dead-OVL-C0001;dead-OVL-C0813,3
OVL-C1001,c02;c05;c08;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0510;dead-OVL-C0706;dead-OVL-C0804;dead-OVL-C0808;dead-OVL-C1001;dead-OVL-C1013;dead-OVL-C1101;dead-OVL-C1107,14
OVL-C1002,c05;c07;c08;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0510;dead-OVL-C0706;dead-OVL-C0712;dead-OVL-C0804;dead-OVL-C0808;dead-OVL-C1101;dead-OVL-C1107,12
OVL-C1003,c05;dead-OVL-C0001;dead-OVL-C0804;dead-OVL-C0813;dead-OVL-C1001,5
OVL-C1004,dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0510;dead-OVL-C0706;dead-OVL-C1001;dead-OVL-C1101,6
OVL-C1005,c02;c05;c07;c08;dead-OVL-C0002;dead-OVL-C0510;dead-OVL-C0706;dead-OVL-C0804;dead-OVL-C0808;dead-OVL-C1101,10
OVL-C1006,c05;c08;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0510;dead-OVL-C0706;dead-OVL-C0808;dead-OVL-C1101;dead-OVL-C1107,9
OVL-C1007,c02;c07;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0706;dead-OVL-C0804;dead-OVL-C1101;dead-OVL-C1107,8
OVL-C1008,c02;c05;dead-OVL-C0003;dead-OVL-C0706;dead-OVL-C0804;dead-OVL-C1001;dead-OVL-C1101,7
OVL-C1009,c02;c08;dead-OVL-C0001;dead-OVL-C0510;dead-OVL-C0706,5
OVL-C1010,c05;c08;dead-OVL-C0002;dead-OVL-C0510,4
OVL-C1011,c05;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0510;dead-OVL-C0804;dead-OVL-C0808;dead-OVL-C1001;dead-OVL-C1107,9
OVL-C1012,c05;c12;dead-OVL-C0706,3
OVL-C1013,c02;c08;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0003;dead-OVL-C0804;dead-OVL-C1001;dead-OVL-C1013,8
OVL-C1014,c02;dead-OVL-C0001;dead-OVL-C0002;dead-OVL-C0510;dead-OVL-C0706;dead-OVL-C0712;dead-OVL-C1001,7
OVL-C1015,dead-OVL-C0706;dead-OVL-C0813;dead-OVL-C1001,3
OVL-C1016,dead-OVL-C0510;dead-OVL-C1016,2
OVL-C1101,c02;c05;c07;c08;dead-OVL-C0002;dead-OVL-C0706;dead-OVL-C1001;dead-OVL-C1006;dead-OVL-C1007;dead-OVL-C1101;dead-OVL-C1214,11
OVL-C1102,c02;c05;c12;dead-OVL-C0706;dead-OVL-C0712;dead-OVL-C0813;dead-OVL-C1001;dead-OVL-C1011;dead-OVL-C1013;dead-OVL-C1101;dead-OVL-C1107;dead-OVL-C1214,12
OVL-C1103,c05;c07;c12;dead-OVL-C0002;dead-OVL-C0510;dead-OVL-C1001;dead-OVL-C1006;dead-OVL-C1107,8
OVL-C1104,c02;c05;c07;dead-OVL-C0002;dead-OVL-C0510;dead-OVL-C0706;dead-OVL-C0712;dead-OVL-C1001;dead-OVL-C1006;dead-OVL-C1007;dead-OVL-C1011;dead-OVL-C1013;dead-OVL-C1101;dead-OVL-C1107,14
OVL-C1105,c05;c07;c08;c12;dead-OVL-C0002;dead-OVL-C0510;dead-OVL-C0712;dead-OVL-C1006;dead-OVL-C1011;dead-OVL-C1013,10
OVL-C1106,c02;c07;c08;dead-OVL-C0706;dead-OVL-C0712;dead-OVL-C1001;dead-OVL-C1007;dead-OVL-C1013,8
OVL-C1107,c02;c05;c08;dead-OVL-C0002;dead-OVL-C0706;dead-OVL-C1001;dead-OVL-C1006;dead-OVL-C1007;dead-OVL-C1011;dead-OVL-C1107,10
OVL-C1108,c02;c07;dead-OVL-C0002;dead-OVL-C0706;dead-OVL-C1001,5
OVL-C1109,c07;c08;dead-OVL-C0002;dead-OVL-C0510;dead-OVL-C0706;dead-OVL-C0712;dead-OVL-C1001;dead-OVL-C1006;dead-OVL-C1101,9
OVL-C1110,c05;c07;dead-OVL-C0002,3
OVL-C1111,c05;c12;dead-OVL-C1001,3
OVL-C1112,dead-OVL-C0002;dead-OVL-C0706;dead-OVL-C0712,3
OVL-C1113,dead-OVL-C1001;dead-OVL-C1013;dead-OVL-C1107,3
OVL-C1114,dead-OVL-C1016,1
OVL-C1201,c08;dead-OVL-C0002;dead-OVL-C0706;dead-OVL-C1001;dead-OVL-C1101;dead-OVL-C1107,6
OVL-C1202,c02;c05;c07;c12;dead-OVL-C0002;dead-OVL-C0510;dead-OVL-C1101;dead-OVL-C1107;dead-OVL-C1214;dead-OVL-C1315,10
OVL-C1203,c02;c05;c07;dead-OVL-C0002;dead-OVL-C0510;dead-OVL-C0706;dead-OVL-C0712;dead-OVL-C1101;dead-OVL-C1214,9
OVL-C1204,c02;c05;c12;dead-OVL-C0002;dead-OVL-C0706;dead-OVL-C1001;dead-OVL-C1107,7
OVL-C1205,c02;c05;dead-OVL-C0002;dead-OVL-C0706;dead-OVL-C1001;dead-OVL-C1013;dead-OVL-C1101;dead-OVL-C1107,8
OVL-C1206,c02;c08;dead-OVL-C0002;dead-OVL-C0706;dead-OVL-C0712;dead-OVL-C1001;dead-OVL-C1013;dead-OVL-C1101;dead-OVL-C1107;dead-OVL-C1214,10
OVL-C1207,c02;c05;dead-OVL-C0002;dead-OVL-C1001;dead-OVL-C1013;dead-OVL-C1107;dead-OVL-C1214,7
OVL-C1208,c07;dead-OVL-C0002;dead-OVL-C0510,3
OVL-C1209,c07;c08;dead-OVL-C0510;dead-OVL-C1101;dead-OVL-C1107,5
OVL-C1210,c05;c07;dead-OVL-C0510,3
OVL-C1211,c08;c12;dead-OVL-C0510;dead-OVL-C1001;dead-OVL-C1107,5
OVL-C1212,c05;c08;dead-OVL-C0712,3
OVL-C1213,c02;c05;c08;dead-OVL-C0510;dead-OVL-C1001;dead-OVL-C1013,6
OVL-C1214,dead-OVL-C1001;dead-OVL-C1101;dead-OVL-C1214,3
OVL-C1215,dead-OVL-C1016,1
OVL-C1301,c02;c05;c08;c10;c12;dead-OVL-C0002;dead-OVL-C0706;dead-OVL-C1001;dead-OVL-C1013;dead-OVL-C1107;dead-OVL-C1214,11
OVL-C1302,c02;c04;c07;c10;dead-OVL-C0002;dead-OVL-C0706;dead-OVL-C1001;dead-OVL-C1101;dead-OVL-C1107;dead-OVL-C1214,10
OVL-C1303,c02;c05;dead-OVL-C0002;dead-OVL-C0510;dead-OVL-C0712;dead-OVL-C1013;dead-OVL-C1107,7
OVL-C1304,c02;c04;c05;c07;c08;dead-OVL-C0002;dead-OVL-C0706;dead-OVL-C1101,8
OVL-C1305,c02;c04;c07;c08;dead-OVL-C0002;dead-OVL-C0706;dead-OVL-C1001;dead-OVL-C1101;dead-OVL-C1107,9
OVL-C1306,c02;c04;c05;c08;c12;dead-OVL-C0002;dead-OVL-C0706;dead-OVL-C1001;dead-OVL-C1101;dead-OVL-C1107,10
OVL-C1307,c05;c07;c08;dead-OVL-C0510;dead-OVL-C1101,5
OVL-C1308,c08;c12;dead-OVL-C1013;dead-OVL-C1101;dead-OVL-C1107,5
OVL-C1309,c05;c12,2
OVL-C1310,c02;dead-OVL-C0706;dead-OVL-C1013;dead-OVL-C1107,4
OVL-C1311,dead-OVL-C0002;dead-OVL-C0510,2
OVL-C1312,c04;c05;dead-OVL-C0002;dead-OVL-C0706;dead-OVL-C1101;dead-OVL-C1107;dead-OVL-C1214,7
