approach,identity_group,snapshot_index,snapshot_label,observation_id,member_count
overlap,c08,11,days_275_325,OVL-C1109,41
overlap,c08,12,days_300_350,OVL-C1209,43
overlap,c08,13,days_325_375,OVL-C1308,44
overlap,c08,14,days_350_400,OVL-C1410,46
overlap,c08,15,days_375_425,OVL-C1508,44
overlap,c08,16,days_400_450,OVL-C1608,45
overlap,c08,17,days_425_475,OVL-C1708,48
overlap,c08,18,days_450_500,OVL-C1808,44
overlap,c08,19,days_475_525,OVL-C1908,47
overlap,c09,19,days_475_525,OVL-C1909,37
overlap,c10,14,days_350_400,OVL-C1411,44
overlap,c10,15,days_375_425,OVL-C1509,40
overlap,c10,16,days_400_450,OVL-C1609,39
overlap,c10,17,days_425_475,OVL-C1709,38
overlap,c10,18,days_450_500,OVL-C1809,33
overlap,c10,19,days_475_525,OVL-C1910,34
overlap,c11,19,days_475_525,OVL-C1911,34
overlap,c12,0,days_0_50,OVL-C0012,27
overlap,c12,1,days_25_75,OVL-C0111,29
overlap,c12,2,days_50_100,OVL-C0210,38
overlap,c12,3,days_75_125,OVL-C0313,25
overlap,c12,4,days_100_150,OVL-C0410,26
overlap,c12,5,days_125_175,OVL-C0512,27
overlap,c12,6,days_150_200,OVL-C0608,48
overlap,c12,7,days_175_225,OVL-C0708,49
overlap,c12,8,days_200_250,OVL-C0811,26
overlap,c12,9,days_225_275,OVL-C0911,28
overlap,c12,10,days_250_300,OVL-C1012,29
overlap,c12,11,days_275_325,OVL-C1111,27
overlap,c12,12,days_300_350,OVL-C1211,28
overlap,c12,13,days_325_375,OVL-C1309,29
overlap,c12,14,days_350_400,OVL-C1408,50
overlap,c12,15,days_375_425,OVL-C1510,27
overlap,c12,16,days_400_450,OVL-C1607,51
overlap,c12,17,days_425_475,OVL-C1707,51
overlap,c12,18,days_450_500,OVL-C1810,30
overlap,c12,19,days_475_525,OVL-C1912,30
overlap,c13,17,days_425_475,OVL-C1710,38
overlap,c13,18,days_450_500,OVL-C1812,25
overlap,c13,19,days_475_525,OVL-C1913,26
overlap,c14,15,days_375_425,OVL-C1511,22
overlap,c14,16,days_400_450,OVL-C1610,24
overlap,c14,17,days_425_475,OVL-C1711,26
overlap,c14,18,days_450_500,OVL-C1813,24
overlap,c14,19,days_475_525,OVL-C1914,22
overlap,c15,19,days_475_525,OVL-C1915,21
overlap,c16,18,days_450_500,OVL-C1814,21
overlap,c16,19,days_475_525,OVL-C1916,19
overlap,c17,19,days_475_525,OVL-C1917,9
overlap,c18,18,days_450_500,OVL-C1816,4
overlap,c18,19,days_475_525,OVL-C1918,4
