approach,snapshot_index,snapshot_label,window_start_ts,window_end_ts,local_id,observation_id,identity_group,size,nodes_json
cumulative,0,days_0_50,0,4320000,10,CUM-C0011,dead-CUM-C0011,27,"[0, 6, 32, 78, 170, 228, 249, 295, 333, 409, 470, 482, 502, 538, 569, 580, 599, 605, 693, 710, 749, 789, 791, 816, 862, 976, 991]"
cumulative,0,days_0_50,0,4320000,11,CUM-C0012,c09,27,"[25, 41, 44, 48, 73, 216, 318, 319, 321, 366, 386, 434, 458, 481, 499, 558, 565, 618, 672, 679, 684, 704, 723, 758, 844, 918, 956]"
cumulative,0,days_0_50,0,4320000,12,CUM-C0013,dead-CUM-C0013,24,"[62, 113, 124, 250, 263, 369, 444, 485, 513, 515, 535, 542, 551, 646, 722, 770, 794, 800, 821, 823, 854, 886, 927, 968]"
cumulative,0,days_0_50,0,4320000,13,CUM-C0014,dead-CUM-C0014,10,"[45, 66, 227, 332, 435, 448, 500, 539, 782, 986]"
cumulative,0,days_0_50,0,4320000,14,CUM-C0015,dead-CUM-C0015,6,"[180, 215, 217, 727, 829, 958]"
cumulative,1,days_0_100,0,8640000,0,CUM-C0101,c01,155,"[11, 26, 36, 39, 40, 49, 53, 60, 65, 71, 75, 76, 79, 83, 86, 91, 115, 116, 120, 137, 143, 146, 151, 152, 157, 159, 185, 187, 191, 193, 194, 195, 197, 198, 203, 214, 218, 220, 221, 229, 233, 235, 239, 242, 248, 253, 254, 272, 277, 285, 290, 306, 307, 317, 325, 326, 330, 334, 372, 374, 379, 380, 394, 397, 398, 400, 404, 430, 441, 443, 450, 452, 453, 462, 466, 471, 476, 483, 488, 492, 495, 523, 533, 544, 546, 549, 550, 554, 566, 568, 571, 572, 578, 580, 591, 595, 596, 607, 609, 612, 619, 627, 633, 637, 659, 660, 662, 669, 671, 678, 687, 692, 695, 696, 701, 703, 712, 714, 741, 742, 746, 752, 769, 771, 772, 775, 776, 784, 787, 798, 801, 802, 807, 830, 833, 834, 835, 841, 852, 863, 865, 875, 882, 890, 900, 901, 910, 923, 930, 934, 935, 938, 940, 975, 993]"
cumulative,1,days_0_100,0,8640000,1,CUM-C0102,c05,108,"[2, 7, 10, 13, 14, 16, 29, 32, 90, 105, 119, 131, 132, 138, 153, 173, 180, 192, 196, 199, 208, 215, 217, 226, 236, 252, 270, 273, 283, 327, 331, 335, 359, 381, 382, 385, 396, 411, 418, 437, 440, 442, 461, 465, 467, 497, 506, 508, 516, 519, 532, 537, 541, 576, 613, 616, 639, 644, 650, 653, 654, 657, 661, 664, 682, 690, 700, 702, 705, 719, 727, 738, 745, 747, 761, 763, 783, 790, 791, 796, 804, 812, 814, 815, 820, 829, 837, 842, 850, 867, 881, 897, 911, 921, 924, 945, 951, 958, 967, 969, 970, 977, 979, 983, 985, 996, 1001, 1004]"
cumulative,1,days_0_100,0,8640000,2,CUM-C0103,c03,83,"[0, 6, 19, 59, 61, 78, 101, 114, 118, 127, 145, 149, 158, 175, 184, 189, 228, 243, 246, 249, 259, 275, 281, 293, 295, 333, 339, 365, 377, 393, 407, 409, 410, 423, 426, 436, 446, 457, 464, 470, 482, 502, 522, 538, 569, 593, 597, 599, 605, 606, 652, 681, 693, 708, 710, 711, 716, 718, 724, 729, 732, 737, 749, 754, 767, 777, 779, 789, 793, 816, 843, 849, 862, 866, 876, 883, 884, 904, 905, 907, 976, 980, 991]"
cumulative,1,days_0_100,0,8640000,3,CUM-C0104,c02,76,"[9, 23, 30, 45, 52, 66, 74, 77, 104, 110, 111, 112, 126, 133, 161, 166, 168, 186, 209, 219, 227, 232, 240, 256, 260, 267, 276, 294, 305, 313, 332, 356, 392, 416, 435, 439, 447, 448, 459, 472, 475, 478, 479, 500, 517, 539, 556, 557, 564, 573, 574, 575, 586, 602, 648, 655, 674, 694, 699, 743, 759, 762, 765, 782, 803, 845, 859, 868, 869, 885, 889, 912, 944, 948, 984, 986]"
cumulative,1,days_0_100,0,8640000,4,CUM-C0105,c04,72,"[1, 38, 42, 46, 50, 64, 69, 84, 96, 102, 103, 106, 125, 139, 154, 164, 174, 206, 223, 299, 303, 309, 310, 320, 322, 323, 324, 337, 343, 346, 368, 378, 388, 395, 399, 402, 420, 460, 474, 477, 487, 489, 501, 505, 509, 510, 514, 524, 534, 548, 559, 562, 603, 622, 634, 638, 649, 663, 676, 706, 735, 740, 780, 788, 822, 828, 832, 853, 879, 893, 939, 950]"
cumulative,1,days_0_100,0,8640000,5,CUM-C0106,dead-CUM-C0004,55,"[17, 31, 35, 67, 92, 122, 136, 141, 142, 165, 167, 188, 200, 207, 241, 257, 301, 302, 316, 344, 373, 421, 424, 428, 431, 469, 512, 543, 547, 552, 614, 640, 645, 647, 683, 709, 795, 817, 824, 831, 838, 847, 851, 857, 858, 915, 952, 953, 954, 957, 963, 971, 978, 988, 990]"
cumulative,1,days_0_100,0,8640000,6,CUM-C0107,c08,51,"[28, 34, 56, 68, 95, 170, 176, 179, 231, 245, 251, 264, 269, 311, 329, 338, 350, 361, 364, 375, 427, 432, 433, 511, 531, 540, 582, 588, 624, 641, 697, 698, 734, 736, 764, 773, 809, 819, 836, 840, 855, 872, 873, 887, 925, 955, 960, 987, 994, 995, 997]"
cumulative,1,days_0_100,0,8640000,7,CUM-C0108,dead-CUM-C0007,39,"[4, 8, 12, 15, 72, 82, 97, 135, 144, 284, 292, 304, 341, 370, 371, 405, 406, 422, 456, 520, 527, 563, 581, 584, 585, 587, 594, 617, 626, 628, 680, 720, 731, 739, 870, 871, 936, 942, 973]"
cumulative,1,days_0_100,0,8640000,8,CUM-C0109,dead-CUM-C0109,32,"[5, 98, 107, 117, 134, 150, 201, 268, 278, 291, 297, 401, 415, 429, 449, 454, 468, 473, 491, 504, 553, 592, 670, 688, 707, 713, 808, 810, 880, 898, 916, 1003]"
cumulative,1,days_0_100,0,8640000,9,CUM-C0110,dead-CUM-C0110,32,"[27, 58, 147, 171, 205, 230, 255, 308, 347, 355, 362, 383, 389, 438, 528, 577, 589, 590, 673, 686, 715, 748, 818, 877, 909, 922, 926, 931, 933, 946, 966, 972]"
cumulative,1,days_0_100,0,8640000,10,CUM-C0111,c06,29,"[24, 87, 148, 160, 181, 190, 202, 274, 280, 353, 360, 391, 408, 414, 493, 526, 530, 561, 629, 630, 631, 643, 656, 658, 685, 846, 891, 894, 920]"
cumulative,1,days_0_100,0,8640000,11,CUM-C0112,c09,29,"[25, 41, 44, 48, 73, 216, 318, 319, 321, 366, 386, 434, 458, 481, 499, 558, 565, 618, 672, 679, 684, 704, 723, 753, 758, 844, 918, 956, 1002]"
cumulative,1,days_0_100,0,8640000,12,CUM-C0113,dead-CUM-C0013,24,"[62, 113, 124, 250, 263, 369, 444, 485, 513, 515, 535, 542, 551, 646, 722, 770, 794, 800, 821, 823, 854, 886, 927, 968]"
cumulative,2,days_0_150,0,12960000,0,CUM-C0201,c01,177,"[8, 11, 26, 27, 34, 36, 39, 40, 49, 53, 60, 65, 75, 76, 79, 83, 86, 90, 91, 115, 116, 120, 137, 143, 144, 146, 147, 151, 152, 157, 159, 161, 171, 185, 187, 193, 194, 197, 198, 203, 212, 214, 218, 220, 221, 229, 230, 233, 235, 239, 242, 244, 248, 253, 254, 255, 257, 272, 277, 283, 285, 290, 306, 307, 308, 317, 326, 330, 334, 347, 352, 355, 379, 380, 394, 397, 398, 400, 413, 430, 443, 450, 462, 466, 471, 476, 483, 488, 492, 495, 533, 544, 546, 550, 554, 566, 568, 571, 572, 577, 578, 580, 590, 591, 596, 607, 609, 612, 613, 619, 623, 626, 627, 633, 640, 659, 660, 662, 665, 669, 671, 673, 678, 686, 687, 692, 695, 696, 703, 712, 714, 715, 739, 742, 746, 748, 752, 763, 769, 771, 772, 775, 776, 784, 787, 798, 802, 807, 830, 833, 834, 835, 841, 852, 863, 865, 875, 877, 882, 890, 900, 901, 910, 923, 926, 930, 931, 933, 935, 938, 940, 960, 966, 972, 975, 993, 997]"
cumulative,2,days_0_150,0,12960000,1,CUM-C0202,c03,99,"[0, 6, 16, 18, 19, 32, 59, 61, 71, 78, 101, 114, 127, 145, 149, 158, 169, 178, 184, 189, 195, 225, 228, 237, 243, 246, 249, 259, 265, 281, 293, 295, 315, 325, 333, 339, 365, 372, 377, 393, 404, 407, 409, 410, 423, 426, 436, 452, 453, 457, 470, 482, 502, 522, 538, 569, 593, 595, 599, 605, 606, 652, 681, 693, 708, 710, 711, 716, 718, 724, 729, 732, 749, 754, 767, 777, 779, 789, 791, 793, 816, 832, 843, 861, 862, 866, 876, 883, 884, 896, 904, 905, 907, 916, 934, 970, 976, 991, 999]"
cumulative,2,days_0_150,0,12960000,2,CUM-C0203,c05,78,"[2, 7, 10, 13, 14, 105, 119, 131, 132, 153, 173, 192, 199, 252, 270, 273, 327, 331, 374, 381, 382, 396, 411, 418, 437, 442, 461, 465, 467, 497, 506, 508, 516, 519, 532, 541, 576, 597, 616, 639, 644, 650, 653, 654, 657, 661, 682, 700, 702, 719, 738, 745, 747, 761, 783, 790, 796, 804, 812, 814, 820, 837, 842, 850, 881, 911, 921, 924, 945, 951, 967, 969, 977, 979, 983, 996, 1001, 1004]"
cumulative,2,days_0_150,0,12960000,3,CUM-C0204,c02,78,"[9, 23, 30, 45, 52, 66, 74, 77, 104, 110, 111, 112, 126, 133, 166, 168, 186, 209, 219, 227, 232, 240, 256, 260, 266, 267, 276, 294, 305, 313, 332, 356, 392, 416, 435, 439, 447, 448, 459, 472, 475, 478, 479, 500, 517, 523, 539, 556, 557, 564, 573, 574, 575, 586, 602, 648, 655, 674, 694, 699, 743, 759, 762, 765, 782, 803, 845, 859, 868, 869, 885, 889, 908, 912, 944, 949, 984, 986]"
cumulative,2,days_0_150,0,12960000,4,CUM-C0205,dead-CUM-C0109,75,"[5, 29, 62, 98, 107, 113, 117, 118, 124, 134, 150, 191, 196, 201, 208, 226, 236, 250, 263, 268, 278, 291, 297, 335, 359, 369, 385, 401, 415, 429, 440, 444, 449, 454, 464, 468, 473, 485, 491, 504, 513, 515, 535, 537, 542, 551, 553, 592, 646, 664, 670, 688, 707, 713, 722, 726, 770, 794, 800, 801, 808, 810, 821, 823, 839, 854, 880, 886, 898, 927, 948, 968, 980, 985, 1003]"
cumulative,2,days_0_150,0,12960000,5,CUM-C0206,c04,74,"[1, 38, 42, 46, 50, 64, 69, 84, 96, 102, 103, 106, 125, 139, 154, 164, 172, 174, 206, 223, 299, 303, 309, 310, 320, 322, 323, 324, 337, 343, 346, 368, 378, 388, 395, 402, 420, 460, 474, 477, 487, 489, 498, 501, 505, 509, 510, 514, 524, 534, 548, 559, 562, 603, 622, 634, 638, 649, 663, 676, 705, 706, 735, 740, 768, 780, 788, 822, 828, 853, 879, 893, 939, 950]"
cumulative,2,days_0_150,0,12960000,6,CUM-C0207,dead-CUM-C0007,57,"[4, 12, 15, 58, 72, 82, 97, 135, 138, 179, 205, 284, 292, 304, 341, 362, 370, 371, 383, 389, 405, 406, 422, 438, 441, 456, 520, 527, 528, 549, 563, 581, 584, 585, 587, 589, 594, 617, 628, 680, 701, 720, 731, 741, 818, 848, 867, 870, 871, 887, 909, 922, 936, 942, 943, 946, 973]"
cumulative,2,days_0_150,0,12960000,7,CUM-C0208,dead-CUM-C0004,54,"[17, 31, 35, 67, 92, 122, 136, 141, 142, 165, 167, 188, 200, 207, 241, 301, 302, 316, 344, 373, 421, 424, 428, 431, 469, 512, 543, 547, 552, 614, 637, 645, 647, 683, 709, 795, 817, 824, 831, 838, 847, 851, 857, 858, 915, 952, 953, 954, 957, 963, 971, 978, 988, 990]"
cumulative,2,days_0_150,0,12960000,8,CUM-C0209,c08,49,"[28, 56, 68, 95, 170, 176, 231, 245, 251, 264, 269, 311, 329, 338, 350, 361, 364, 375, 399, 427, 432, 433, 511, 531, 540, 582, 588, 624, 641, 690, 697, 698, 734, 736, 764, 773, 809, 815, 819, 836, 840, 855, 872, 873, 925, 955, 987, 994, 995]"
cumulative,2,days_0_150,0,12960000,9,CUM-C0210,c09,31,"[25, 41, 44, 48, 73, 85, 216, 318, 319, 321, 366, 386, 434, 458, 481, 499, 558, 565, 600, 618, 672, 679, 684, 704, 723, 753, 758, 844, 918, 956, 1002]"
cumulative,2,days_0_150,0,12960000,10,CUM-C0211,c06,30,"[24, 87, 148, 160, 181, 190, 202, 274, 280, 353, 360, 391, 408, 414, 445, 493, 526, 530, 561, 629, 630, 631, 643, 656, 658, 685, 846, 891, 894, 920]"
cumulative,2,days_0_150,0,12960000,11,CUM-C0212,dead-CUM-C0212,7,"[180, 215, 217, 727, 829, 897, 958]"
cumulative,2,days_0_150,0,12960000,12,CUM-C0213,dead-CUM-C0213,5,"[175, 275, 446, 737, 849]"
cumulative,3,days_0_200,0,17280000,0,CUM-C0301,c01,169,"[11, 26, 27, 34, 36, 39, 40, 53, 60, 65, 70, 75, 79, 83, 86, 91, 115, 116, 120, 137, 146, 147, 151, 152, 157, 159, 161, 171, 179, 185, 187, 193, 194, 197, 198, 203, 212, 214, 218, 220, 221, 229, 230, 233, 235, 239, 242, 244, 253, 254, 255, 257, 272, 277, 278, 283, 285, 290, 306, 307, 308, 315, 326, 334, 347, 352, 355, 379, 380, 394, 397, 398, 400, 413, 430, 443, 450, 462, 466, 471, 476, 483, 488, 495, 533, 544, 546, 550, 554, 566, 568, 571, 572, 577, 578, 590, 591, 596, 607, 609, 612, 619, 623, 626, 627, 633, 637, 640, 659, 660, 662, 665, 671, 673, 678, 686, 687, 692, 695, 696, 703, 712, 714, 715, 742, 746, 748, 752, 763, 769, 771, 772, 775, 776, 784, 787, 798, 802, 805, 807, 830, 833, 834, 835, 841, 852, 863, 865, 875, 877, 882, 890, 900, 901, 910, 923, 926, 930, 931, 933, 935, 938, 940, 960, 966, 972, 975, 993, 997]"
cumulative,3,days_0_200,0,17280000,1,CUM-C0302,c05,97,"[2, 10, 13, 14, 32, 49, 105, 119, 131, 132, 143, 153, 173, 192, 199, 208, 213, 226, 236, 248, 252, 270, 273, 317, 327, 331, 359, 374, 381, 382, 396, 411, 418, 437, 440, 442, 461, 465, 467, 490, 492, 496, 497, 506, 508, 516, 519, 532, 537, 541, 576, 580, 597, 616, 639, 644, 650, 653, 654, 657, 661, 669, 682, 690, 700, 702, 719, 738, 745, 747, 761, 783, 790, 791, 796, 804, 812, 820, 828, 837, 842, 850, 881, 897, 911, 921, 924, 928, 945, 951, 967, 969, 977, 979, 996, 1001, 1004]"
cumulative,3,days_0_200,0,17280000,2,CUM-C0303,c02,85,"[9, 23, 30, 45, 52, 66, 74, 77, 104, 110, 111, 112, 126, 133, 166, 168, 182, 186, 204, 209, 219, 227, 232, 240, 256, 260, 266, 267, 276, 294, 305, 313, 332, 356, 392, 416, 425, 435, 439, 447, 448, 459, 472, 475, 478, 479, 500, 517, 523, 539, 556, 557, 564, 573, 574, 575, 586, 602, 648, 655, 674, 694, 699, 730, 743, 759, 762, 765, 782, 794, 800, 803, 814, 845, 859, 868, 869, 885, 889, 908, 912, 944, 949, 984, 986]"
cumulative,3,days_0_200,0,17280000,3,CUM-C0304,c03,76,"[16, 18, 38, 59, 61, 71, 101, 114, 127, 145, 149, 158, 162, 169, 175, 184, 189, 195, 225, 237, 243, 246, 259, 265, 275, 281, 293, 325, 365, 372, 377, 393, 404, 407, 410, 423, 426, 436, 446, 452, 453, 457, 460, 474, 522, 593, 595, 652, 681, 708, 711, 716, 718, 724, 729, 737, 754, 777, 779, 793, 832, 843, 849, 861, 866, 876, 883, 884, 896, 904, 905, 907, 916, 934, 970, 999]"
cumulative,3,days_0_200,0,17280000,4,CUM-C0305,dead-CUM-C0109,73,"[5, 7, 29, 62, 90, 98, 107, 113, 117, 118, 124, 134, 144, 150, 191, 196, 201, 250, 263, 268, 291, 297, 320, 335, 369, 385, 401, 415, 429, 444, 449, 454, 464, 468, 473, 485, 491, 504, 513, 515, 535, 542, 551, 553, 592, 613, 646, 651, 664, 670, 683, 688, 707, 713, 722, 726, 770, 801, 808, 810, 821, 823, 839, 854, 880, 886, 898, 927, 948, 968, 980, 985, 1003]"
cumulative,3,days_0_200,0,17280000,5,CUM-C0306,c04,72,"[1, 42, 46, 50, 64, 69, 76, 84, 96, 97, 102, 103, 106, 125, 139, 154, 164, 172, 174, 206, 223, 299, 303, 309, 310, 322, 323, 324, 337, 343, 346, 368, 378, 388, 395, 399, 402, 420, 477, 487, 489, 498, 501, 505, 509, 510, 514, 524, 534, 548, 559, 562, 603, 622, 634, 638, 649, 663, 676, 705, 706, 735, 740, 768, 780, 788, 822, 853, 879, 893, 939, 950]"
cumulative,3,days_0_200,0,17280000,6,CUM-C0307,dead-CUM-C0007,61,"[4, 8, 12, 15, 58, 72, 81, 82, 135, 138, 205, 284, 292, 304, 330, 340, 362, 370, 371, 383, 389, 405, 406, 422, 438, 441, 456, 520, 527, 528, 549, 563, 581, 584, 585, 587, 589, 594, 617, 628, 680, 701, 720, 731, 733, 741, 797, 818, 848, 867, 870, 871, 887, 909, 922, 936, 941, 942, 943, 946, 973]"
cumulative,3,days_0_200,0,17280000,7,CUM-C0308,dead-CUM-C0004,53,"[17, 31, 35, 67, 92, 122, 136, 141, 142, 165, 167, 188, 200, 207, 241, 301, 302, 316, 341, 344, 421, 424, 428, 431, 469, 512, 543, 547, 552, 614, 645, 647, 709, 739, 795, 817, 824, 831, 838, 847, 851, 857, 858, 915, 952, 953, 954, 957, 963, 971, 978, 988, 990]"
cumulative,3,days_0_200,0,17280000,8,CUM-C0309,c08,50,"[28, 56, 68, 95, 170, 176, 231, 245, 251, 264, 269, 311, 329, 338, 350, 361, 364, 375, 427, 432, 433, 482, 511, 531, 540, 582, 588, 606, 624, 641, 697, 698, 734, 736, 764, 773, 809, 815, 819, 836, 840, 855, 872, 873, 925, 955, 983, 987, 994, 995]"
cumulative,3,days_0_200,0,17280000,9,CUM-C0310,c06,31,"[24, 87, 148, 160, 181, 190, 202, 274, 280, 353, 360, 373, 391, 408, 414, 445, 493, 526, 530, 561, 629, 630, 631, 643, 656, 658, 685, 846, 891, 894, 920]"
cumulative,3,days_0_200,0,17280000,10,CUM-C0311,c09,31,"[25, 41, 44, 48, 73, 85, 216, 318, 319, 321, 366, 386, 434, 458, 481, 499, 558, 565, 600, 618, 672, 679, 684, 704, 723, 753, 758, 844, 918, 956, 1002]"
cumulative,3,days_0_200,0,17280000,11,CUM-C0312,dead-CUM-C0312,29,"[0, 6, 19, 78, 178, 228, 249, 295, 312, 333, 339, 349, 409, 470, 502, 538, 569, 599, 605, 693, 710, 732, 749, 767, 789, 816, 862, 976, 991]"
cumulative,3,days_0_200,0,17280000,12,CUM-C0313,dead-CUM-C0212,9,"[180, 215, 217, 238, 357, 727, 829, 899, 958]"
cumulative,4,days_0_250,0,21600000,0,CUM-C0401,c01,177,"[11, 26, 27, 34, 36, 39, 40, 53, 60, 65, 70, 75, 79, 83, 86, 90, 91, 116, 120, 137, 144, 146, 147, 151, 152, 157, 159, 161, 171, 179, 185, 187, 191, 193, 194, 197, 198, 203, 212, 213, 214, 218, 219, 220, 221, 229, 230, 233, 235, 239, 242, 244, 253, 254, 255, 272, 277, 283, 285, 290, 306, 307, 308, 315, 317, 326, 334, 347, 352, 355, 374, 379, 380, 389, 394, 397, 398, 400, 413, 430, 443, 448, 450, 462, 466, 471, 476, 483, 488, 495, 533, 544, 546, 550, 554, 566, 568, 570, 571, 572, 577, 578, 590, 591, 596, 607, 609, 612, 613, 619, 623, 626, 627, 633, 640, 651, 659, 660, 661, 662, 665, 671, 673, 678, 686, 687, 692, 695, 696, 703, 712, 714, 715, 742, 746, 748, 752, 763, 769, 771, 772, 775, 776, 784, 787, 798, 802, 805, 807, 830, 833, 834, 835, 841, 852, 863, 865, 875, 877, 882, 890, 900, 901, 923, 926, 930, 931, 933, 935, 938, 940, 960, 966, 972, 975, 993, 997]"
cumulative,4,days_0_250,0,21600000,1,CUM-C0402,c05,118,"[5, 7, 10, 13, 14, 29, 49, 105, 107, 118, 131, 153, 173, 175, 180, 183, 192, 199, 201, 208, 215, 217, 222, 226, 236, 238, 248, 252, 270, 273, 275, 327, 328, 331, 335, 357, 359, 381, 382, 385, 396, 411, 418, 437, 440, 442, 446, 464, 467, 468, 473, 491, 492, 497, 506, 508, 516, 532, 537, 541, 553, 576, 597, 616, 639, 644, 650, 653, 654, 657, 664, 666, 670, 682, 688, 690, 702, 719, 726, 727, 737, 738, 745, 747, 761, 783, 796, 801, 804, 808, 810, 820, 828, 829, 837, 839, 849, 850, 881, 897, 898, 899, 911, 921, 924, 928, 945, 951, 958, 967, 969, 977, 979, 980, 985, 996, 1001, 1004]"
cumulative,4,days_0_250,0,21600000,2,CUM-C0403,c03,111,"[0, 6, 16, 18, 19, 32, 59, 61, 71, 78, 101, 114, 115, 127, 143, 145, 149, 158, 162, 169, 178, 184, 189, 195, 225, 228, 237, 243, 246, 249, 259, 265, 279, 281, 293, 295, 312, 320, 325, 333, 339, 340, 365, 372, 377, 393, 404, 407, 409, 410, 423, 426, 436, 452, 453, 457, 470, 490, 496, 502, 519, 522, 538, 569, 580, 593, 595, 599, 605, 615, 635, 652, 669, 681, 693, 705, 708, 710, 711, 716, 718, 724, 729, 732, 749, 754, 767, 777, 779, 791, 793, 797, 816, 832, 843, 861, 862, 866, 876, 883, 884, 896, 904, 905, 907, 916, 934, 970, 976, 991, 999]"
cumulative,4,days_0_250,0,21600000,3,CUM-C0404,c02,97,"[2, 9, 23, 30, 37, 45, 52, 66, 74, 77, 104, 110, 111, 112, 119, 121, 126, 133, 166, 168, 182, 186, 204, 209, 227, 232, 240, 256, 260, 266, 267, 276, 287, 294, 305, 313, 332, 356, 392, 412, 416, 425, 435, 439, 447, 459, 465, 472, 475, 478, 479, 500, 517, 523, 539, 556, 557, 564, 573, 574, 575, 586, 602, 648, 655, 674, 677, 694, 699, 700, 717, 730, 743, 759, 762, 765, 782, 790, 794, 800, 803, 812, 814, 825, 845, 859, 868, 869, 885, 889, 908, 912, 944, 948, 949, 984, 986]"
cumulative,4,days_0_250,0,21600000,4,CUM-C0405,c04,76,"[1, 38, 42, 46, 50, 64, 69, 76, 84, 96, 97, 102, 103, 106, 125, 132, 139, 154, 164, 172, 174, 206, 223, 299, 303, 309, 310, 322, 323, 324, 337, 343, 346, 368, 378, 388, 395, 399, 402, 420, 460, 474, 477, 487, 489, 498, 501, 505, 509, 510, 514, 524, 534, 548, 559, 562, 603, 622, 634, 638, 649, 663, 676, 706, 735, 740, 768, 780, 788, 822, 842, 853, 879, 893, 939, 950]"
cumulative,4,days_0_250,0,21600000,5,CUM-C0406,c06,60,"[24, 35, 87, 141, 148, 160, 167, 181, 188, 190, 202, 207, 241, 274, 280, 286, 288, 301, 353, 360, 373, 391, 408, 414, 421, 424, 431, 445, 469, 493, 512, 526, 530, 547, 552, 561, 614, 629, 630, 631, 643, 645, 656, 658, 685, 709, 795, 817, 824, 846, 847, 851, 858, 891, 894, 920, 954, 957, 978, 988]"
